id,title,description,type,repeatable,rewards,requiredItems,objectives,notes
armourer-q1,破滅から鍛えられしもの,素晴らしい、この金属は始まりにすぎない。これで作る鎧は命を賭ける価値あるものになるだろう。だが大事なのは鋼だけではない…それが何を意味することかが重要だ。それは強さ、サバイバル、そしてこの世界がどんなものかを理解し、それに備えることだ。,納品,FALSE,gold-coin*50|arcane-essence*4,cobalt-ore*1,コバルト鉱石:0:2,
armourer-q2,呪われし生存者,妻は拷問を受け、家畜のように焼印を押され、言葉に説明できないような儀式に強制された。妻は新しい血は抜かれ死体のように放置されている。私が妻を見つけた時はただの骸になり、体には奇怪な印が刻まれ破壊されていた。見つけた時、私は彼女を救えると思っていたが、今はもう自信がない。私の妻はもういない…見つけた遺体は妻に似ている。,討伐,FALSE,gold-coin*50|uncommon-weapon*2,,巨大トンボキル数:0:5|ゾンビキル数:0:5,ダンジョンタイプ:忘れられた城
armourer-q3,消えゆく存在,これは幸先良い始まりだが、まだ準備は整っていない。やるべきことはまだあるし、時間もない。後で戻ってきてくれ。兄たちと相談して、私たちに有利な情報が見つかっているか確認する。,納品,FALSE,gold-coin*50|uncommon-armor*2,uncommon-armor*1,アンコモン防具:0:2,
armourer-q4,ロブスターレッド,ああ…これがその素材か…これで何ができるか試してみよう。今は別のことで君の助けが必要だ。,納品,FALSE,gold-coin*75|rare-armor*1,rubysilver-ore*1,ルビーシルバー鉱石:0:2,
armourer-q5,墓場で勤務,あそこは墓荒らしで悪名高い場所だから、危険ではないといいんだが…もし先にそれを言っていたら、君はそこに向かわなかっただろうな。,探索,FALSE,gold-coin*100|rare-armor*1,,教会墓地の場所を探索する:0:1,
armourer-q6,超自然の何か,大変だったと思うが…これは君の努力の証だ。これで城の中に入るのがずっと簡単になるはずだ。,討伐,FALSE,gold-coin*100|rare-weapon*1,,スライムキル数:0:7|ウィスプキル数:0:7,ダンジョンタイプ:忘れられた城
armourer-q7,蒼海鉱石,持ち帰ったか！こんな模様の鉱石は初めてだ。精錬した後もまだ残っているのだろうか？この新しい素材を手に入れなくては…どこまで加工できるか試してみよう。,納品,FALSE,gold-coin*100|rare-armor*2,tidestone-ore*1,タイドストーン鉱石:0:3,
armourer-q8,貝殻と棘,ふむ、硬くて鋭い…しかもまだ海の匂いがこびりついている。このままでは使えない。まずはしっかり洗って乾かす必要がある。だが、これを使えば良い鎧が作れそうだ。,納品,FALSE,gold-coin*100|rare-weapon*1|rare-armor*1,hard-crab-shell*1|sharp-sea-urchin-spine*1,カニの硬殻,
armourer-q9,波間の怪物,無事に帰ってきてよかった。君のような人がいるからこそ、この仕事は意味がある。少しでも役に立てて本当に嬉しい。より頑丈な鎧を作り上げられるよう、これからも精進しよう。,討伐,FALSE,gold-coin*100|rare-weapon*1|rare-armor*1,,タイドウォーカーこん棒兵キル数:0:10|タイドウォーカー・シャーマンキル数:0:5|タイドウォーカー槍兵キル数:0:10,ダンジョンタイプ:船の墓場
armourer-q10,職人技の差,ありがとう。一見すると、これらは鍛冶に何の関係もないように見えるが、実際には驚くほど精巧な技法で作られている。一つひとつじっくり観察することは、私にとって良い学びになるだろう。,納品,FALSE,gold-coin*150|rare-armor*2,hourglass*1|walking-cane*1,砂時計:0:2|歩行杖:0:2,
armourer-q11,エール漬けの洞察,この地域を調べてくれて感謝する。あの占い師の不思議なメッセージにはまだ懐疑的だけど、やはり何かありそうな気がする。,探索,FALSE,gold-coin*150|epic-armor*1,,馬小屋の場所を探索する:0:1,ダンジョンタイプ:忘れられた城
armourer-q12,死の騎士,この地で邪悪の支配から一時の休息を与えてくれたことに感謝する…ありがとう、冒険者。,討伐,FALSE,gold-coin*150|epic-weapon*1|epic-armor*1,,スペクトラル・ナイトキル数:0:1,ダンジョンタイプ:忘れられた城
armourer-q13,感染調査,このサンプルは私が想像していたよりもはるかに恐ろしい…だが疫病の起源を辿るには十分な手がかりだ。もし何かわかったら、真っ先に知らせるよ。,討伐・納品,FALSE,gold-coin*150|epic-weapon*2,infected-flesh*1|old-bloody-bandage*1,ミイラキル数:0:25|ゾンビキル数:0:25|腐敗した肉片:0:10|古い血まみれの包帯:0:10,ダンジョンタイプ:忘れられた城
armourer-q14,モンスターとトラップ,何も異常はなかったのか？ああ、なるほど…いや、気にしないでくれ。私が自分でそこに足を踏み入れていないのに、それ以上のことを要求するのは筋違いだ。とはいえ、君が多くの罠を解いてくれたおかげで、しばらくは他の者も地下聖堂を探索しやすくなるだろう。ありがとう。,操作,FALSE,gold-coin*150|arcane-essence*4,,フロアスパイクの操作をする:0:15|振り子斧の操作をする:0:15|ウォールスパイクの操作をする:0:15,ダンジョンタイプ:忘れられた城
armourer-q15,深まる疑念,よくやった。もちろん、1回の挑戦で地下墓所の問題が明らかになるとは思っていなかった。もしそれが可能なら、この疫病の原因はとっくの昔に解決されているはずだ。とはいえ、どうしてもこの墓自体が病の源であるという考えが頭から離れない。さらなる調査が必要だ。,探索,FALSE,gold-coin*150|epic-armor*2,,崇拝者の部屋を探索する:0:1|兵舎の場所を探索する:0:1|地下墓地の場所を探索する:0:1|車輪の場所を探索する:0:1|水槽の場所を探索する:0:1|崖の場所を探索する:0:1|中央祭壇の場所を探索する:0:1|廊下の場所を探索する:0:1|壊れた橋の場所を探索する:0:1|漁場の場所を探索する:0:1|中央橋の場所を探索する:0:1,ダンジョンタイプ:忘れられた城
