id,title,description,type,repeatable,rewards,requiredItems,objectives,notes
goldsmith-q1,装備を強化する方法,悪くはありません。同品質の装備に使えるかどうかぎりぎりといったところですが、練習用には十分でしょう。感謝いたします。これからも時折、依頼させていただきますよ。,納品,FALSE,gold-coin*50|uncommon-armor*1,blue-sapphire*1|diamond*1|emerald*1|ruby*1,サファイア（傷あり）:0:1|ダイアモンド（傷あり）:0:1|エメラルド（傷あり）:0:1|ルビー（傷あり）:0:1,
goldsmith-q2,より上質な宝石,実にお見事です。これから私に依頼を持ってきてくだされば、さらに高い水準の仕事を提供いたしましょう。よい仕事ぶりですよ。,納品,FALSE,gold-coin*75|uncommon-armor*2,blue-sapphire*1|diamond*1|emerald*1|ruby*1,サファイア（標準）:0:1|ダイアモンド（標準）:0:1|エメラルド（標準）:0:1|ルビー（標準）:0:1,
goldsmith-q3,精密な手,私の期待通り、貴方なら期待を裏切らないと思っていました。近頃私の技術が向上しているのは貴方の働きが大きいことも否定できません。また一緒にお仕事ができる日を楽しみにしていますよ。,納品,FALSE,gold-coin*100|uncommon-weapon*2,blue-sapphire*1|diamond*1|emerald*1|ruby*1,サファイア（精巧）:0:1|ダイアモンド（精巧）:0:1|エメラルド（精巧）:0:1|ルビー（精巧）:0:1,
goldsmith-q4,小休憩,ふむ、実に美味。どこでこれを手に入れたのです？……私には見覚えのない場所、ですって？まぁ、お味が良いならそれでも結構。次も期待していますよ。,納品,FALSE,gold-coin*100|rare-armor*1,cobalt-ingot*1|lukewarm-stew*1|red-apple*1,コバルトインゴット:0:3|ぬるいシチュー:0:1|赤いりんご:0:1,
goldsmith-q5,備蓄,ありがとうございます。これは私の研究には十分すぎるほどです。また手伝ってもらえればありがたいことは山ほどあります。時間があるときにまた立ち寄ってくださいね。,納品,FALSE,gold-coin*125|rare-weapon*1,bronze-scale*1|silver-ingot*1|stone-mortar*1,青銅の秤:0:1|シルバーインゴット:0:3|石臼:0:1,
goldsmith-q6,常に足りぬもの,宝石細工には思っている以上に多くの道具が必要なのです。私が最も多く使うものはすぐに摩耗してしまいます。普段は予備を手元に置いていますが、気づかぬうちにいくつか使い切ってしまったようですね。必要なものをお伝えしますから、それぞれいくつずつ持ってきていただきたい。あぁ、それからルビーシルバーのインゴットも忘れずにお願いします。,納品,FALSE,gold-coin*150|rare-armor*1,awl*1|bellows*1|rubysilver-ingot*1,きり:0:3|ふいご:0:3|ルビーシルバーインゴット:0:3,
goldsmith-q7,上質な宝石に慣れる,星の加護あれ！この宝石を透かして差す光をご覧になさい。実に見事です。今すぐでも作業に取り掛かりたくて指先がうずうずしてしまいます。貴方に頼んで正解でしたね、冒険者様。,納品,FALSE,gold-coin*150|rare-weapon*2,diamond*1|ruby*1,ダイアモンド（完璧）:0:3|ルビー（完璧）:0:3,
goldsmith-q8,宝石の差異を見極める,実にお見事。貴方のような冒険者ならいつか伝説級の宝石さえも持ち帰ってくるに違いありません。良き仕事ぶりでしたよ。,納品,FALSE,gold-coin*150|arcane-essence*4,blue-sapphire*1|emerald*1,サファイア（完璧）:0:3|エメラルド（完璧）:0:3,
goldsmith-q9,異なる手法の模索,待っていましたよ、冒険者様。今回も私の仕事のために宝石や鉱石を集めてきていただきたい。宝石細工の参考になりそうなものも見つけたなら、それも一緒に持ち帰っていただけるとありがたいのです。少し傷んでいても構いませんから、できるならいくつか持ってきてください。,納品,FALSE,gold-coin*200|epic-armor*1,blemished-pearl*1|broken-glasses*1|tidestone-ingot*1,傷のある真珠:0:3|壊れた眼鏡:0:3|タイドストーンインゴット:0:3,
goldsmith-q10,伝説の宝石たち,なんと鮮烈な深紅の輝きです！これまでとは別物のようですね。このような宝石を扱える機会がそう簡単に巡ってこないことは承知しております。すべてはあなたのおかげです、冒険者様。,納品,FALSE,gold-coin*200|epic-weapon*1,ruby*1,ルビー（王家）:0:5,
goldsmith-q11,均衡と裁量,お見事です。貴方が持ち帰ったサファイアはどれも状態が良く、均衡が取れています。あとは私がいかにうまくこれらを加工するかにかかっていますね。細心の注意を払って作業を進めますよ。,納品,FALSE,gold-coin*200|arcane-essence*2,blue-sapphire*1,サファイア（王家）:0:5,
goldsmith-q12,息を整える,貴方に頼んで正解でしたね、冒険者殿。貴方が持ち帰った素材はどれも申し分のない状態です。失われていた調子を取り戻すには十分でしょう。,納品,FALSE,gold-coin*250|epic-armor*1,gold-ingot*1|shining-pearl*1,金インゴット:0:5|輝く真珠:0:5,
goldsmith-q13,慎みの美,正しく手を加えさえすれば、ダイヤモンドほど美しい宝石はそう多くありません。あまりにも硬質であるがゆえに、欠陥を探る必要もほとんどありません。では、次の宝石へ進むとしましょう。,納品,FALSE,gold-coin*250|epic-armor*2,diamond*1,ダイアモンド（王家）:0:5,
goldsmith-q14,繊細の極み,心から感謝いたします。貴方がいなければこれほど多彩で、しかも高品質を備えた宝石の数々に触れる機会など決して得られなかったでしょう。もし今後も私に試したい仕事があれば遠慮なく知らせてください。その時は常に最優先で取り掛かりましょう。,納品,FALSE,gold-coin*250|epic-weapon*2,emerald*1,エメラルド（王家）:0:5,
goldsmith-q15,神秘の鉱物,黒曜石が入手できると聞きました。それは本当に驚きですね。黒曜石は極めて珍しく、実物を見るのも難しいほどです。可能であれば、黒曜石をいくつかお持ちいただけませんか？多ければ多いほど良いのです。黒曜石に親和性のある材料もいくつか必要なので、必要なものを書き留めておきます。お願いいたしますよ。,納品,FALSE,gold-coin*300|arcane-essence*4,mysterious-potion*1|obsidian-ingot*1|pocket-watch*1,謎のポーション:0:5|黒曜石のインゴット:0:5|懐中時計:0:5,
