id,title,description,type,repeatable,rewards,requiredItems,objectives,notes
leathersmith-q1,魅力的な冒険,ああ、完璧だ。他の探索にも役立ちそうだ。ありがとう。彼女はとても冒険心旺盛な人だった。もし何か情報を聞いたら教えてくれ。,納品,FALSE,gold-coin*50|uncommon-armor*2,leather-cap*1,レザーキャップ:0:1,
leathersmith-q2,癒しの時,私の感謝の印としてこれらを受け取ってくれ。そして、どうか早く戻ってきてほしい。君のスキルが役立つ仕事がある。,操作,FALSE,gold-coin*50|uncommon-weapon*2,,回復の祠の操作をする:0:1,ダンジョンタイプ:忘れられた城
leathersmith-q3,焚き火の物語,あなたの努力に深く感謝している。毎日、疲れを感じているが、希望を捨てることはできない。狩人もまた、この捜索に尽力してくれており、彼が彼女に特別な愛情を抱いていると私は思っている。諦めずにいてくれてありがとう。,探索,FALSE,gold-coin*50|uncommon-armor*2,,盗賊野営地の場所を探索する:0:1,ダンジョンタイプ:忘れられた城
leathersmith-q4,オークを開けて,たった10個のオークチェストでこれだけの戦利品を見つけたのか？こんなに掘り出し物があったなら、きっと簡単ではなかっただろうね！,操作,FALSE,gold-coin*100|uncommon-weapon*2,,オークの宝箱の操作をする:0:10,ダンジョンタイプ:氷晶洞窟|１試合中
leathersmith-q5,凍てつく者との遭遇,耳と骨…「証拠」と言ったときに俺が考えていたものとは少し違うが、これで十分だろう。,納品,FALSE,gold-coin*100|rare-weapon*2,bone*1|kobold's-ear*1,骨:0:2|コボルトの耳:0:2,
leathersmith-q6,奈落の底へ,君は本当にあの場所まで降りて、そして生きて帰って来たんだ…君ならやり遂げると思っていたよ。ところでそこにいる間何か変わったことはなかったか？,討伐,FALSE,gold-coin*100|rare-armor*2,,フロスト・センチネルキル数:0:2|氷の番犬キル数:0:3,ダンジョンタイプ:氷晶洞窟
leathersmith-q7,廃墟のささやき,感謝いたします。何も見つからなかったのは残念ではありますが、ある意味では安堵すべきことでもあります。それはまだ希望が残されているという証なのですから。とはいえ、時の流れは確実に彼女を蝕んでいきます。この老いさらばえた身体が、娘を見つけ出すその日まで持ちこたえてくれることを、ただ願うばかりです。,討伐,FALSE,gold-coin*150|rare-armor*2,,ハーピィキル数:0:2|スケルトンキル数:0:10,ダンジョンタイプ:忘れられた城|１試合中
leathersmith-q8,デュークス・オブ・ザ・デッド,この打撃はウォーロード自身にも気づかれるだろう…正義の行為のたびに彼の存在は弱まり、地下墓所に対する彼の支配を打ち破ることに近づいている。,討伐,FALSE,gold-coin*150|epic-armor*1,,悪魔狂戦士キル数:0:1|悪魔ケンタウロスキル数:0:1|スケルトン・チャンピオンキル数:0:1|レイスキル数:0:1,ダンジョンタイプ:忘れられた城|１試合中
leathersmith-q9,ウォーロードの災い,本当だ！魂は解放され、彼の腐敗した力は粉々に砕け散った！この勝利は、何世代にもわたって語り継がれる歌として響き渡るだろう！どんな報酬もこの功績を完全に称えることはできないが、この武器が価値あるスタートとなることを願っている！,討伐,FALSE,gold-coin*150|epic-armor*2,,スケルトン・ウォーロードキル数:0:1,ダンジョンタイプ:忘れられた城
leathersmith-q10,記憶の響き,ありがとう。少し重さは、十分なはずだ。これで若者達が少しでも安全に過ごせることを願うばかりだ。結局のところ、生きて家に帰ることより大切なことはないんだ。君を待っている人たちのためにも、君も気を付けるんだぞ、冒険者。わかったか？,納品,FALSE,gold-coin*150|epic-weapon*2,spider-silk*1|sturdy-cloth*1|marauder-outfit*1|troubadour-outfit*1|warden-outfit*1,蜘蛛の絹:0:3|頑丈な布:0:3|略奪者の衣装:0:1|吟遊詩人の衣装:0:1|看守の衣装:0:1,
leathersmith-q11,信仰と心配,君が無事に戻ってきてくれて、心から安堵しているよ。もちろん、君の腕は信頼していたが…心配が心から消えることはなかった。君の無事な姿を見て、今夜はやっと少し眠れるかもしれないな。,討伐,FALSE,gold-coin*150|epic-armor*2,,スケルトンキル数:0:30,ダンジョンタイプ:忘れられた城|１試合中
leathersmith-q12,夢の影,これは…これはあそこで見つかったのか？いや、そんなまさか…これは娘じゃない。あり得ない。絶対に違うはずだ…どうか、頼む…信じられない。私には…絶対に信じられない。頼む、今はここにしてくれ。私は…私は鍛冶師の所へ行かねば。彼なら本当に誰の遺体なのか教えてくれるはずだ…,納品,FALSE,gold-coin*150|epic-weapon*1|epic-armor*1|arcane-essence*2,human-remains*1,亡骸:0:1,
