id,title,description,type,repeatable,rewards,requiredItems,objectives,notes
surgeon-q1,悪意の痕跡,君がいない間に、私の仮説を確認した。彼らは本来のように治癒していない。あの傷を作るために使われたものが、何か毒で汚されていたのではないかと疑わずにはいられない。調べる必要があるので、すぐに戻ってきてほしい。君の助けがすぐに必要になる。,納品,FALSE,gold-coin*30|surgical-kit*1|arcane-essence*2,bandage*1,包帯:0:1,
surgeon-q2,進歩という名の下に,成長するにつれて知識は増えてきましたが、この世界にはまだ学ぶべきことがたくさんあります。廃墟で発見された存在もその一つです。未だ正体不明のものを、より深く調べるべき時です。,討伐,FALSE,gold-coin*30|arcane-essence*2,,生ける鎧キル数:0:5,ダンジョンタイプ:忘れられた城
surgeon-q3,過去の囁き,あの部屋で君が見つけたもので、より鮮明な全体像が見えてきた。だが、解明すべきことはまだたくさんある。儀式は呪いと結びついており、私たちはその源に近づいている。,探索,FALSE,gold-coin*30|explosive-bottle*3|bandage*3,,城砦の場所を探索する:0:1,ダンジョンタイプ:忘れられた城
surgeon-q4,医師の指示,素晴らしい仕事です！まさに医者の指示通りです！,納品,FALSE,gold-coin*75|potion-of-healing*6|bandage*6,surgical-kit*1,医療キット:0:1,
surgeon-q5,アンデッドを排除せよ,まったく信じられない。1000年経ってもこんなことになるとは思いもしなかった。我々のやり方を嫌っている元凶の行動を明らかにしてください。これを決意の誓いとして受け取ってください。,討伐,FALSE,gold-coin*75|uncommon-armor*2,,巨大トンボキル数:0:5|ミイラキル数:0:10,ダンジョンタイプ:忘れられた城
surgeon-q6,予期せぬ事態に備える,それで十分でしょう。私の仕事では精度と信頼性が重要です。兄が同じ基準を持っていないのは残念です。,使用,FALSE,gold-coin*75|uncommon-armor*2,,[医療キット]を使用する:0:3,ダンジョンタイプ:忘れられた城
surgeon-q7,寒冷地での治療,認めたくはないが、弟の調合薬は結局、何らかの役に立つかもしれない。それでも、私は最も効果的な方法を支持している。,使用,FALSE,gold-coin*125|rare-armor*2,,[包帯]を使用する:0:5|[回復ポーション]を使用する:0:3|[医療キット]を使用する:0:1,ダンジョンタイプ:氷晶洞窟／1試合中
surgeon-q8,聖なる治療,少し間違っていたことを認めなければならないようだ。どうやら神々は私が最初に考えていたよりも強力らしい。,操作,FALSE,gold-coin*125|rare-armor*1|arcane-essence*2,,回復の祠の操作をする:0:2|,ダンジョンタイプ:氷晶洞窟／1試合中
surgeon-q9,氷のように精密,君の勇敢さにとても感謝する。君の行為は知識の進歩に貴重な貢献をしてくれているよ。,納品,FALSE,gold-coin*125|arcane-essence*4,giant-toe*1,巨人の足指:0:1,
surgeon-q10,集中治療,すごいですね。何か防腐作用があるはずですから、調べてみましょう。,使用・納品,FALSE,gold-coin*150|rare-armor*2,maggots*5|moldy-bread*5,[医療キット]を使用する:0:1|うじ虫:0:5|カビたパン:0:5,ダンジョンタイプ:忘れられた城
surgeon-q11,闇を照らす,よくやった、友よ！私の教えがあなたを無事に救うことができたことを嬉しく思います。,討伐,FALSE,gold-coin*150|arcane-essence*4,,コカトリスキル数:0:3|死の頭蓋キル数:0:10|生ける石像キル数:0:6,ダンジョンタイプ:忘れられた城
surgeon-q12,石と骨,素晴らしい仕事です！探索を続け、学び続ければ、他にどんな秘密が見つかるかは誰にもわかりません。,討伐,FALSE,gold-coin*150|epic-armor*2,,リッチキル数:0:1,ダンジョンタイプ:忘れられた城
surgeon-q13,医療用品の確認,どうだった？体調が悪化したりはしなかったか？副作用とかは……？本当に問題なかったってことか？最低限の衛生状態すら整っていなかったはずなのに、それでも効果があったと……効果があるのなら、使うのを止めることはできないな。だが、考え直してほしいが、といずれにしても、教えてくれてありがとう。,使用,FALSE,gold-coin*150|epic-weapon*1|epic-armor*1|arcane-essence*2,,[包帯]を使用する:0:25|[医療キット]を使用する:0:10,ダンジョンタイプ:忘れられた城
surgeon-q14,誰の叫び声だ？,何も聞こえなかったのか？…なるほど、分かった。念のために調査を頼んだが、何も見つからなかったのなら、それはそれで良いことなのかもしれない。少なくとも、革職人にはこの噂のことを知られたくない。この動揺した表情は二度と見たくないんだ。,探索,FALSE,gold-coin*150|epic-weapon*1|epic-armor*1|arcane-essence*3,,血の橋に一定時間滞在する:0:1|ピラミッドに一定時間滞在する:0:1|広場Aに一定時間滞在する:0:1,ダンジョンタイプ:忘れられた城
surgeon-q15,ダンジョンの価値,君のおかげで、しばらくは実験に使える材料が十分に揃った。せめてこの中に有用な素材があればいいんだが。まずは徹底的に煮沸して、しっかりと浄化しないとな。,納品,FALSE,gold-coin*150|epic-weapon*1|epic-armor*1|arcane-essence*4,enchanted-dark-fabric*7|old-bloody-bandage*7|old-cloth*10|spectral-fabric*1,闇で染められた織物:0:7|古い血まみれの包帯:0:7|古い布:0:10|霊幻生地:0:1,
