id,title,description,type,repeatable,rewards,requiredItems,objectives,notes
tavern-master-q1,簡単なテスト,よくやった。アンデッドへの対処法を見ればそいつが本当に準備のできた冒険者なのか、それともただ冒険者ぶりをしているだけなのか一目でわかる。お前は本物だ。,討伐,FALSE,gold-coin*10|uncommon-armor*1,,アンデッドキル数:0:1,ダンジョンタイプ:すべて
tavern-master-q2,手に取る価値あり,収穫はあったようだな。まともな戦利品を持ち帰った連中は、だいたいエールを飲みにここへ戻ってくる。腹も減るし、喉も渇く。お前も一杯どうだ？,操作,FALSE,gold-coin*20|uncommon-weapon*1,,小さな宝箱の操作をする:0:3,ダンジョンタイプ:すべて
tavern-master-q3,最も重要なこと,無事に戻ったか。それは何よりだ。それだけの腕があるなら、これからは真っ当な仕事を任せても良さそうだな。,生還,FALSE,gold-coin*50|arcane-essence*2,,ダンジョンで生き残る:0:1,ダンジョンタイプ:忘れられた城
tavern-master-q4,君なのか？,それを置いたとき、何か感じたか？重いものがやっと持ち上がったような、空気の変化？そんな予感がした。占い師に会いに行って、私が君を送ったと言うんだ。彼女なら、ここで起きていることの真相をもっと見抜いてくれるかもしれない。,討伐,FALSE,gold-coin*30|potion-of-protection*3|potion-of-healing*3,,スケルトン兵キル数:0:5|スケルトン片手剣士キル数:0:5|スケルトン弓兵キル数:0:5,ダンジョンタイプ:忘れられた城
tavern-master-q5,奇妙な新鮮さ,お前が持ち帰ったブツを見てみたが、これといって悪いところはなさそうだ。臭いも問題なし。食おうと思えば食えるだろう。だが、それが余計に気味が悪い。あの呪われた城には、一体どんな魔法がかかってるってんだ…,納品,FALSE,gold-coin*30|uncommon-weapon*1|bandage*3,ale*1|lukewarm-stew*1|red-apple*1,エール:0:1|ぬるいシチュー:0:1|赤いりんご:0:1,
tavern-master-q6,紙とインク,この地図には歴史が詰まっている。そこに刻まれた一つ一つの印が、すべてが崩れ去る前の時代を物語っている。いっそ、君にその話を飲みながら話すことができるかもしれない。でも今は、この地図は君のものだ。,探索,FALSE,gold-coin*30|ale*3|uncommon-armor*1,,兵舎の場所を探索する:0:1,ダンジョンタイプ:忘れられた城
tavern-master-q7,最初の試み,よくやったが、まだ気を緩めてはいけない。前途は長く、困難は増すばかりだ。酒場は今、満員だ。落ち着いたらまた来てくれ。,納品,FALSE,gold-coin*50|uncommon-armor*1|bandage*3,grave-essence*2|intact-skull*1|rusty-broken-sword*1,墓場の土:0:2|完璧な頭蓋骨:0:1|錆びて壊れた剣:0:,
tavern-master-q8,血まみれの指,よくやった。あの魔道士たちはもう呪文を唱えられないだろうし、チャンピオンも予想通り倒した。だが、まだ油断は禁物だ。,討伐,FALSE,gold-coin*50|uncommon-armor*1|potion-of-invisibility*3,,スケルトン・チャンピオンキル数:0:2|スケルトン魔導士キル数:0:3,ダンジョンタイプ:忘れられた城
tavern-master-q9,女性従業員がいない,戻ってきたか。あの女性従業員たちはどうだ？まだ何かで塞いでいて、ただの食中毒だけではない気がしてきたんだ。少しは落ち着いたから、また外科医のところに行こうと思っている。,生還,FALSE,gold-coin*50|surgical-kit*3|bandage*6,,ダンジョンで生き残る:0:3,ダンジョンタイプ:忘れられた城
tavern-master-q10,凍てつく野郎ども,君が只者じゃないということは、しっかり認めておくよ。今度飲みにでもきてくれ。君にはダンジョンでコインを稼ぐだけじゃなく、ここでもっと得るべきものがあるだろう？,討伐,FALSE,gold-coin*50|arcane-essence*2|uncommon-armor*1,,フロストウォーカーキル数:0:5,ダンジョンタイプ:氷晶洞窟
