id,title,description,type,repeatable,rewards,requiredItems,objectives,notes
treasurer-q1,賭け事と恩義,すごいですね！このキラキラした宝石はまさにぴったりです。コレクターもきっと満足するでしょう。そしてあなたは十分に報酬を受けるに値します。,納品,FALSE,gold-coin*30|uncommon-weapon*1,gem-necklace*1|gem-ring*1,宝石のネックレス:0:1|宝石の指輪:0:1,
treasurer-q2,苦しみの遺産,あなたが発見した証拠は、何が起こっているのか、悲惨な状況を描き出している。儀式の痕跡、苦しみ、そして嘆きが本当なら…何者かが彼らの魂を、すぐに戻って来てくれ。調べたいことがある,探索,FALSE,gold-coin*30|uncommon-armor*1,,共同墓地の場所を探索する:0:1,ダンジョンタイプ:忘れられた城
treasurer-q3,触まれた者たちの囁き,レイスは消滅したが、残念ながら生きている者に変化はない。調査をして、次の手を考えなければならない。すぐに戻ってくる。私が儀式の整理をしているときよりも、より正確かつ慎重に計画を立てる必要がある。,討伐,FALSE,gold-coin*30|lockpick*5|uncommon-armor*1,,レイスキル数:0:2,
treasurer-q4,埋められた秘密,死体のひとつには、以前見たものとは少し違うようだが、以前遭遇したものと似た印があった。これは、より深く、より暗く進化した何かを暗示している。とはいえ、まだ結論は出ていない。調査結果をまとめるには、もう少し時間が必要だ。また近いうちに会おう。,探索,FALSE,gold-coin*50|uncommon-weapon*2,,ピラミッドの場所を探索する:0:1,ダンジョンタイプ:忘れられた城
treasurer-q5,重荷の解消,よくやった。これは堅実なスタートだが、死者が残した負債をすべて清算するには十分ではない。もっと必要だが、少なくとも正しい道を歩んでいる。とりあえず、これで彼らの苦しみを和らげる作業を始めることができるだろう。,納品,FALSE,gold-coin*50|uncommon-armor*2,silver-coin*1,銀貨:0:50,
treasurer-q6,置き忘れられたマフィン,よくやった。家族から感謝の気持ちを伝えてほしいと頼まれました。お礼にチョコレートチップマフィンを焼いてくれた人もいた。残念なことに、それを何処かに置き忘れてしまったようだ……寄って食べてはいないぞ。いずれにせよ、あなたが持ってきてくれた戦利品やその他の貴重品は、本当に大きな助けとなるでしょう。,討伐,FALSE,gold-coin*50|arcane-essence*4,,ミミックキル数:0:5,ダンジョンタイプ:すべて
treasurer-q7,儀式用の杯,あなたが持ち帰った聖杯は明らかに汚れていて、シミのように暗黒がまとわりついていました。しかしそれが私たちが必要としているものなのでしょうか？調査結果を確認するために、この件に詳しい人に送りました。その間、早急にあなたの対応が必要な他の緊急の問題が報告されています。,納品,FALSE,gold-coin*100|rare-armor*1|great-potion-of-luck*3,gold-goblet*1|silver-chalice*1,ゴールド・ゴブレット:0:1|銀の聖杯:0:1,
treasurer-q8,道を袚う,あなたが集めた情報は私の連絡先にとって役立ち、謎の解明にさらに深くつながっています。私たちは物語をつなぎ合わせ始めていますが、まだ明らかにすべきことがたくさんあります。真実は今や近づいていますが、私たちが取り組んでいることの重要性を完全に理解するには時間がかかるでしょう。すぐに戻ってきてください。この旅の次のステップはすぐそこです。,討伐・探索,FALSE,gold-coin*100|arcane-essence*4,,スケルトン・チャンピオンキル数:0:1|レイスキル数:0:1|宝物庫の場所を探索する:0:1,ダンジョンタイプ:忘れられた城
treasurer-q9,見捨てられし者たちの玉座,玉座は予想以上のものを明らかにしました。玉座の刻印は、権力、喪失、そして語られざる秘密の物語を語っています。しかし、これは始まりに過ぎません。私たちが発見したのはパズルのピースに過ぎず、私たちが求める答えはインフェルノの奥深くにあるのではないかと私は恐れています。あなたは十分に見てきたが、まだ発見すべきものがあることは分かるはずだ。,探索,FALSE,gold-coin*100|rare-weapon*1|arcane-essence*2,,悪魔の玉座の場所を探索する:0:1,ダンジョンタイプ:忘れられた城
treasurer-q10,強固な鉄,あなたにそんな力があるとは思いませんでした。本当にあの辺りの事をよく知っているなら、あまり遠くまで行かないでくださいね。すぐにまた君の能力が必要になりますから。,操作,FALSE,gold-coin*150|rare-weapon*1|rare-armor*1,,鉄扉の操作をする:0:1,ダンジョンタイプ:忘れられた城
treasurer-q11,素晴らしいもの,その宝箱には私が想像していたもの以上のものが入っていました！このような宝箱をあという間に見つけたなら、町で一番裕福な冒険者になれるかもしれません！,操作,FALSE,gold-coin*150|epic-weapon*1|arcane-essence*2,,豪華な宝箱の操作をする:0:1,ダンジョンタイプ:忘れられた城
