id,title,description,type,repeatable,rewards,requiredItems,objectives,notes
woodsman-q1,基本中の基本,あなたが集めてくれた物資があれば、私たちは寒さの犠牲者にならずにすむ。私はこの数ヶ月をよく知っている。少し前のことだが、凍てつく冬に苦しい仲間を失ったことがあった。私は彼らを埋葬し、彼らにふさわしい安らぎを与えたかったが、大地は凍りつき、死そのもののように冷たかった。私が彼らを埋葬するために戻ってきたとき、彼らの遺体は姿を消していた。,納品,FALSE,gold-coin*30|surgical-kit*1|explosive-bottle*3,campfire-kit*1,焚火キット:0:2,
woodsman-q2,外来種,よくやった。道筋がはっきりしたことで、準備不足の者たちも生き延びるチャンスが増えた。簡単なことではないが、あなたは彼らに大きなチャンスを与えた。協力に感謝する。気を抜くなよ。まだまだ先は長い。,討伐,FALSE,gold-coin*30|potion-of-luck*1|uncommon-armor*1,,ダイアウルフキル数:0:5,ダンジョンタイプ:忘れられた城
woodsman-q3,幸運の導き,まあ、驚いたよ。彼女は正しかった…。どうすればいいのかわからないが、我々は正しい道を歩いているようだ。一縷の望みだが、今はそれで十分だ。ここだけの話、あの占い師の女、血まみれの目玉を食べるとか、おかしなことを言うから気味が悪いんだ。,探索,FALSE,gold-coin*30|uncommon-armor*2,,監獄Bの場所を探索する:0:1,ダンジョンタイプ:忘れられた城
woodsman-q4,悪臭退治,うわ、想像していたのと同じくらい嫌な場所だね。悪臭を消すために風呂に入ることを勧めるよ。,討伐,FALSE,gold-coin*75|uncommon-weapon*1,,デーモン・フライキル数:0:3,ダンジョンタイプ:忘れられた城
woodsman-q5,忘れられた城の有用性,いい木材を見つけてきてくれたな。木ってのは重いから、俺一人じゃそう多くは運べなくて困ってたんだ。あんたのおかげで、仕事がずいぶん楽になるよ。ありがとう。,納品,FALSE,gold-coin*75|uncommon-weapon*2,campfire-kit*1|cracked-log*1|bavin*1,焚火キット:0:1|割れた丸太:0:1|大きな丸太:0:3,
woodsman-q6,絶対の相棒,よくやった。これでしばらくは事態を収拾できるだろう。だが、あの生物の出所がわかっていない以上、我々にできるのは彼らを駆除することだけだ。その時が来たらまた頼りにするよ。,探索,FALSE,gold-coin*75|uncommon-weapon*1|uncommon-armor*1,,待機室の場所を探索する:0:1,ダンジョンタイプ:忘れられた城
woodsman-q7,呪われた存在,あなたのスキルは相変わらず素晴らしい。残念ながら、あなたの報告によると、城は暗闇に包まれているようだ。,探索,FALSE,gold-coin*125|rare-armor*2,,死の祭壇の場所を探索する:0:1,ダンジョンタイプ:忘れられた城
woodsman-q8,危険の中で,あなたのスキルを疑った私は愚かだった。さあ、謝罪の印としてこれらの品を受け取って。,生還,FALSE,gold-coin*125|epic-weapon*2,,ダンジョンで生き残る:0:3,ダンジョンタイプ:忘れられた城|連続して脱出すること
woodsman-q9,地獄の王者,神様に誓って！やり遂げたようだな。こんな穏やかな気持ちは何年も感じたことがなかった。残念ながら、この状態がいつまで続くかはわからない。,討伐,FALSE,gold-coin*125|rare-armor*2,,悪魔コウモリキル数:0:3|悪魔狂戦士キル数:0:2|悪魔ケンタウロスキル数:0:2|悪魔の番犬キル数:0:5,ダンジョンタイプ:忘れられた城
woodsman-q10,霜の中の残り火,ああ、霜の冷たさの中でパチパチと音を立てる焚き火ほど心地よいものはない。,使用,FALSE,gold-coin*150|rare-weapon*1|arcane-essence*2,,焚き火キットを使用する:0:8,ダンジョンタイプ:氷晶洞窟
woodsman-q11,氷結の大虐殺,素晴らしい！あの巨人たちは強さで知られている。それをいとも簡単に！,討伐,FALSE,gold-coin*150|epic-weapon*2,,霜巨人の狂戦士キル数:0:9|霜巨人の盾戦士キル数:0:9,ダンジョンタイプ:氷晶洞窟
woodsman-q12,氷の獣,君ここで良い仕事をした。しかし常に覚えておいてほしい、山は決して休まないということを。,討伐,FALSE,gold-coin*150|arcane-essence*4,,霜オオカミキル数:0:9|イエティキル数:0:2,ダンジョンタイプ:氷晶洞窟
woodsman-q13,凍てつく謎,フロストワイバーン？！なんてこった、悪魔たちはなぜこのような恐ろしい獣を捕らえることになったんだ？,探索,FALSE,gold-coin*150|epic-armor*2,,ワイバーンの巣の場所を探索する:0:1,ダンジョンタイプ:氷晶洞窟
woodsman-q14,北極からの侵略者,悪の勢力を弱める素晴らしい仕事だ。,討伐,FALSE,gold-coin*150|epic-weapon*1|epic-armor*1,,霜の悪魔キル数:0:2|霜インプキル数:0:3|フローズン・ゴーストキル数:0:3|氷ハーピィキル数:0:5,ダンジョンタイプ:氷晶洞窟
woodsman-q15,収集と納品,よくやった。あの獣を倒すのは簡単なことではなかったことはわかっている。ただ、フロストデーモンの計画に少しでも打撃を与えられたらと思う。,納品,FALSE,gold-coin*150|epic-weapon*1|epic-armor*1,wendigo's-entrails*1|yeti's-teeth*1,ウェンディゴの臓物:0:1|イエティの歯:0:1,
